session,env,asset,arm,joint,n_samples,zerolag_mae_deg,zerolag_rms_deg,zerolag_p95_deg,zerolag_max_deg,lag_k_ms,lag_xcorr_r,lag_censored,lagcomp_mae_deg,lagcomp_rms_deg,lagcomp_p95_deg,lagcomp_max_deg,steady_n_samples,steady_mae_deg,steady_rms_deg,steady_p95_deg,steady_max_deg,steady_bias_deg
episode_0009,sim,superseded,right,shoulder_roll,36,0.06213699591037315,0.062148156661732526,0.06371702355529238,0.06386700521187805,0.0,0.9992,False,0.06213699591037315,0.062148156661732526,0.06371702355529238,0.06386700521187805,21,0.06299341348606553,0.06299612294677448,0.06379470173088242,0.06386700521187805,0.06299341348606553
episode_0009,sim,superseded,right,shoulder_yaw,36,0.0029894531837595137,0.003027310707357036,0.003638373332771616,0.003744883807851984,0.0,0.9985,False,0.0029894531837595137,0.003027310707357036,0.003638373332771616,0.003744883807851984,21,0.0033231204896565663,0.0033312323493881056,0.0037100433455021786,0.003744883807851984,-0.0033231204896565663
episode_0009,sim,superseded,right,elbow,36,1.129478538095539,1.1294785955984565,1.1300268459847231,1.1301026469264084,0.0,0.9993,False,1.129478538095539,1.1294785955984565,1.1300268459847231,1.1301026469264084,21,1.1292198766206691,1.1292198967608391,1.129566437723648,1.129566437723648,1.1292198766206691
episode_0009,sim,superseded,right,wrist_roll,36,1.3238129303103636,1.323814907297236,1.3264623303236116,1.3269486427724346,0.0,0.9987,False,1.3238129303103636,1.323814907297236,1.3264623303236116,1.3269486427724346,21,1.3254666143447764,1.3254668312130307,1.326708289459411,1.3269486427724346,-1.3254666143447764
episode_0010,sim,superseded,left,shoulder_pitch,37,9.798910586585928,9.798910587867937,9.799175718939134,9.799197489950686,0.0,0.9995,False,9.798910586585928,9.798910587867937,9.799175718939134,9.799197489950686,22,9.798795624440663,9.798795624716451,9.798908400989806,9.798939970125915,9.798795624440663
episode_0010,sim,superseded,left,shoulder_roll,37,4.297635585171307,4.297635586724638,4.2978022305623105,4.297817878109132,0.0,1.0,False,4.297635585171307,4.297635586724638,4.2978022305623105,4.297817878109132,22,4.297718056287582,4.297718056709196,4.2978022305623105,4.297817878109132,-4.297718056287582
episode_0010,sim,superseded,left,shoulder_yaw,37,4.998771415824874,4.998771486364231,5.0001249882816285,5.00023572314668,0.0,1.0,False,4.998771415824874,4.998771486364231,5.0001249882816285,5.00023572314668,22,4.998171628428597,4.9981716483165,4.9988685893430285,4.998993362808754,-4.998171628428597
episode_0010,sim,superseded,left,elbow,37,5.485251875894863,5.485251877914644,5.485486589452608,5.485511474657841,0.0,0.9998,False,5.485251875894863,5.485251877914644,5.485486589452608,5.485511474657841,22,5.485146464268247,5.485146464903797,5.485272935199638,5.4852943598583295,5.485146464268247
episode_0010,sim,superseded,left,wrist_roll,37,2.080430641534928,2.0804307144300513,2.0812113798917764,2.081303125873287,0.0,1.0,False,2.080430641534928,2.0804307144300513,2.0812113798917764,2.081303125873287,22,2.08082423442185,2.0808242544194506,2.0812113798917764,2.081303125873287,2.08082423442185
episode_0010,sim,superseded,right,shoulder_pitch,37,10.52577097813185,10.525770979019745,10.52598453805037,10.526000101010794,0.0,0.9996,False,10.52577097813185,10.525770979019745,10.52598453805037,10.526000101010794,22,10.52567270809019,10.525672708347228,10.525791536862744,10.525814655484709,10.52567270809019
episode_0010,sim,superseded,right,shoulder_roll,37,3.284453862868211,3.2844538676561026,3.2847007827260057,3.2847257230654137,0.0,0.9994,False,3.284453862868211,3.2844538676561026,3.2847007827260057,3.2847257230654137,22,3.2845800848636126,3.2845800858910104,3.2847007827260057,3.2847257230654137,3.2845800848636126
episode_0010,sim,superseded,right,shoulder_yaw,37,3.8062309157696155,3.8062309743083658,3.8073016339468944,3.8073954123298783,0.0,1.0,False,3.8062309157696155,3.8062309743083658,3.8073016339468944,3.8073954123298783,22,3.805754693701354,3.805754710413499,3.806314306739633,3.8064060335155183,3.805754693701354
episode_0010,sim,superseded,right,elbow,37,5.642504576814797,5.642504577252427,5.6426104324738136,5.642615624920026,0.0,0.9987,False,5.642504576814797,5.642504577252427,5.6426104324738136,5.642615624920026,22,5.642455091426552,5.642455091585634,5.642521301631693,5.642536770360024,5.642455091426552
episode_0010,sim,superseded,right,wrist_roll,37,2.040535250375937,2.0405353840890528,2.04158240683814,2.041700790615028,0.0,1.0,False,2.040535250375937,2.0405353840890528,2.04158240683814,2.041700790615028,22,2.0410635817148903,2.041063618123895,2.04158240683814,2.041700790615028,-2.0410635817148903
episode_0011,sim,superseded,left,shoulder_pitch,2205,6.439385173064001,6.823463391130355,9.454049353667843,15.867979177287737,600.0,0.9764,False,6.488734331468159,6.752337693905546,9.07434654738546,11.58178928479765,944,6.676085769625858,6.898212692048542,8.27988972747341,9.853238810500786,6.676085769625858
episode_0011,sim,superseded,left,shoulder_roll,2205,4.088624346862925,5.202494945289207,11.870786419217875,22.262305567137552,600.0,0.9842,False,2.974692193354263,3.222152269415579,5.093055719523525,11.322075425079932,900,2.855104877746163,2.94681066557827,3.825610865527239,4.486521063457587,-2.855104877746163
episode_0011,sim,superseded,left,shoulder_yaw,2205,2.5901353385995916,3.8960345533840957,8.926742194878827,17.087840948491298,666.7,0.9805,False,1.5287005487000278,2.0091501914710514,4.560850432914326,7.671448127278833,1008,1.0243628364701054,1.1761503185671398,2.2321764399031516,3.7878672582606416,-1.015441518639548
episode_0011,sim,superseded,left,elbow,2205,4.985169404088841,5.868777733265899,9.68673472958301,21.38443445845538,600.0,0.9866,False,4.629859626044857,5.188936979094074,7.306047672063904,11.259706979379047,533,6.031648927057239,6.239737254821911,6.905206635962299,7.207237830325658,6.031648927057239
episode_0011,sim,superseded,left,wrist_roll,2205,6.654320352226735,13.10351164612161,32.40823504878304,82.89236554534429,633.3,0.9975,False,2.9274090869302873,4.405986502918394,7.833048748469002,38.0309192806955,734,2.292299808504024,2.677818654620166,4.070265015421559,4.19211605454899,-1.3467924745790476
episode_0011,sim,superseded,right,shoulder_pitch,2205,8.733922356294466,8.839050385548374,10.505744253255676,16.47198436873499,533.3,0.9922,False,8.793794751680576,8.832152907584607,10.041138545354785,13.66775364470356,1462,8.728581942760757,8.747811075794626,9.502384575144253,9.878196426660118,8.728581942760757
episode_0011,sim,superseded,right,shoulder_roll,2205,1.8173871235220262,3.3331508715221765,8.330936543834364,18.771125138037817,600.0,0.9905,False,1.0107535694336753,1.4246997788837454,3.2658460087086056,7.577694242581236,1360,0.7198411048034038,0.7681421197501385,1.0935959180137884,1.4726428056409144,-0.07092208472386102
